,PC1,PC2,labels,name
SRR2175727,8.946008,-13.147629,Homo_sapiens,SRR2175727
SRR14842332,3.383391,-3.9971173,Canis_familiaris,SRR14842332
SRR14842418,-16.116678,-3.0301018,Canis_familiaris,SRR14842418
SRR1952501,10.65254,-5.43427,Homo_sapiens,SRR1952501
SRR25620786,-2.9288845,18.155546,Sediment,SRR25620786
SRR14842426,-1.7695681,4.37664,Canis_familiaris,SRR14842426
SRR2175792,14.280447,-5.158202,Homo_sapiens,SRR2175792
SRR14842357,-11.083973,-5.3473306,Canis_familiaris,SRR14842357
SRR14842355,-11.449854,-11.158941,Canis_familiaris,SRR14842355
SRR14842340,-0.31429657,1.5919987,Canis_familiaris,SRR14842340
SRR14842333,1.9506265,0.529431,Canis_familiaris,SRR14842333
SRR14842407,-10.372835,5.666987,Canis_familiaris,SRR14842407
SRR25620681,-3.2805872,17.020847,Sediment,SRR25620681
SRR14842351,-6.123,-3.8524778,Canis_familiaris,SRR14842351
SRR14842356,4.0802603,-5.312113,Canis_familiaris,SRR14842356
SRR14842386,-11.040922,-3.5157332,Canis_familiaris,SRR14842386
SRR14842421,4.5965915,-4.578393,Canis_familiaris,SRR14842421
SRR14842394,-11.255859,-0.59742415,Canis_familiaris,SRR14842394
SRR14842391,-11.524781,-2.7493603,Canis_familiaris,SRR14842391
SRR14842377,-11.303242,-4.636507,Canis_familiaris,SRR14842377
SRR14842326,-1.2603039,7.9344587,Canis_familiaris,SRR14842326
SRR14842378,-11.112679,-8.452892,Canis_familiaris,SRR14842378
SRR2175649,10.917222,-2.3846056,Homo_sapiens,SRR2175649
SRR25620790,-2.8177605,16.98268,Sediment,SRR25620790
MS11103,7.242495,12.803959,Sediment,MS11103
SRR7774473,9.340754,8.129728,Sediment,SRR7774473
SRR2175768,12.710904,-6.3542523,Homo_sapiens,SRR2175768
MS10904,3.521399,18.48765,Sediment,MS10904
SRR24222625,3.891867,14.758592,Sediment,SRR24222625
SRR14842350,-3.7821066,3.2540116,Canis_familiaris,SRR14842350
