PairIndividuals	Rel	Zup	Zdown	P0_mean	Nonnormalized_P0	Nonnormalized_P0_serr	1st_Type	Perc_Win_1stdeg_P0	OverlapNSNPs	NSNPsXNorm	KinshipCoefficient	KinshipCoefficient_95percCI[min,max]
MS11673,MS11670	Second Degree	0.8186850451629462	1.0865788875955416	0.8659659628834714	0.36441717791411044	0.020706855294080895	N/A	0.808	815	342.96960011113714	0.13403403711652861	0.7695226319408852,0.9624092938260576
MS11673,MS11674	Unrelated	NA	1.629964565648512	0.954932713924838	0.4018563080096253	0.012568823743568082	N/A	0.7131782945736435	2909	1224.170020519384	0.04506728607516197	0.8963927178392675,1.0134727100104086
MS11673,MS11675	Unrelated/Consistent with Third Degree	0.060426773821512916	1.352560719582901	0.9511203785605994	0.4002519949601008	0.013960500265153388	N/A	0.6976744186046512	2381	1001.9762182387946	0.04887962143940061	0.8860985716239796,1.016142185497219
MS11673,MS11676	Unrelated	NA	2.4553939136943654	0.9669061477338993	0.406894987525516	0.010395650452429036	N/A	0.7286821705426356	4409	1855.4024133619678	0.03309385226610073	0.918487827196659,1.0153244682711395
MS11673,MS11677	Unrelated	NA	6.629490949543927	1.0961584820953092	0.4612871610584776	0.01205486077151186	N/A	0.7441860465116279	3061	1288.134902994099	-0.0961584820953092	1.0400122971559644,1.152304667034654
MS11673,MS11678	Unrelated	NA	2.566812606505175	0.9896227457991401	0.4164546225614928	0.013668723535503793	N/A	0.7265625	2358	992.2973215485416	0.010377254200859887	0.9259599052192798,1.0532855863790005
MS11673,MS11679	Unrelated	NA	2.8609259702972922	0.9906265106541235	0.4168770284890011	0.012411176724570646	N/A	0.7421875	2773	1166.938283568323	0.009373489345876451	0.9328207643331529,1.0484322569750941
MS11673,MS11683	Unrelated	NA	3.676195714859959	1.0119831456629542	0.42586436170212766	0.012103488083222199	N/A	0.75	3008	1265.8313584469945	-0.01198314566295422	0.9556104763130351,1.0683558150128734
MS11673,MS11684	Unrelated	NA	3.008231781685465	0.9943509940022556	0.4184443715129636	0.012324449553040592	N/A	0.6976744186046512	3047	1282.2434006609017	0.005649005997744427	0.9369491843093628,1.0517528036951485
MS11673,MS11686	Unrelated	NA	2.5684845136511383	0.9689165142837814	0.4077409931840312	0.010267308355624921	N/A	0.6666666666666666	4108	1728.7351131982225	0.03108348571621855	0.9210959542051022,1.0167370743624606
MS11673,MS11770	Unrelated/Consistent with Third Degree	0.16833643564477094	0.8412725267666316	0.9453093300578455	0.39780658025922233	0.019538269776464848	N/A	0.889763779527559	1003	422.0840600140743	0.054690669942154546	0.8543087511995111,1.0363099089161798
MS11673,MS11771	Unrelated	NA	3.8747145989436484	1.054756302428154	0.44386422976501305	0.016128841878140687	N/A	0.84251968503937	1532	644.6986838898922	-0.0547563024281541	0.979635323753096,1.1298772811032123
MS11673,MS11774	Unrelated	NA	7.658524657487119	1.2250198550556608	0.5155148095909732	0.017515806883784416	N/A	0.8976377952755905	1418	596.7250220338558	-0.2250198550556608	1.1434390096772642,1.3066007004340574
MS11673,MS11775	Unrelated	NA	2.17878100538398	0.9980073978167634	0.41998306519898393	0.017722522101963706	N/A	0.7952755905511811	1181	496.99030396472756	0.0019926021832366025	0.9154637648052569,1.0805510308282698
MS11674,MS11676	Third Degree	3.1050530338777835	0.8449616516377148	0.916277197510368	0.38558923192771083	0.004993908591951574	N/A	0.6793893129770993	21248	8941.617255412812	0.08372280248963204	0.893017790314516,0.9395366047062199
MS11674,MS11686	Third Degree	0.5523506334086049	2.99973827418079	0.9458359268335855	0.3980281835544314	0.005553355445068994	N/A	0.5954198473282443	19373	8152.576764359583	0.05416407316641447	0.919970864784125,0.971700988883046
MS11675,MS11674	Unrelated	NA	7.159341508028608	1.020021027728924	0.4292468760553867	0.006687389521224629	N/A	0.7615384615384615	11844	4984.210973885041	-0.02002102772892389	0.9888741388567246,1.0511679166011232
MS11675,MS11676	Unrelated	NA	7.11541589356999	1.0099888515874627	0.42502511968792483	0.006135347485682108	N/A	0.7251908396946565	16919	7119.880569669116	-0.009988851587462655	0.9814131292189123,1.038564573956013
MS11675,MS11677	Unrelated	NA	11.964390563408719	1.1005570117727914	0.46313815733401514	0.006834329439926873	N/A	0.823076923076923	11733	4937.4997768146895	-0.10055701177279142	1.0687257420515055,1.1323882814940773
MS11675,MS11678	Unrelated	NA	5.08959166581028	0.9992342306995019	0.4204993429697766	0.007688194822564287	N/A	0.6870229007633588	9132	3842.9428076256495	0.0007657693004980981	0.963426035437926,1.0350424259610778
MS11675,MS11679	Unrelated	NA	4.9036984562936565	0.98436683618457	0.41424282229311316	0.006703766944558814	N/A	0.6717557251908397	10658	4485.116561944172	0.015633163815430007	0.9531436685517296,1.0155900038174104
MS11675,MS11683	Unrelated	NA	6.4790849484622886	1.0134176349885544	0.4264680257884649	0.006960621055515042	N/A	0.7076923076923077	11478	4830.19027003145	-0.013417634988554417	0.9809981550390874,1.0458371149380215
MS11675,MS11684	Third Degree	1.5302436409425177	1.3485288123640116	0.9282080703598015	0.3906100008726765	0.006852230454572275	N/A	0.5343511450381679	11459	4822.194659722111	0.07179192964019854	0.8962934256665492,0.9601227150530537
MS11675,MS11686	Third Degree	0.06419527156516389	3.0689073698808667	0.9521645611957263	0.4006914095623247	0.006295999376268928	N/A	0.6030534351145038	15331	6451.6158764464335	0.047835438804273656	0.9228405937059168,0.9814885286855359
MS11677,MS11674	Unrelated	NA	12.892153321386635	1.091863419111997	0.45947970580223374	0.006058734579034998	N/A	0.9007633587786259	14684	6179.344304333666	-0.09186341911199691	1.0636445256199372,1.1200823126040567
MS11677,MS11676	Unrelated	NA	15.082949961031515	1.0926191140723092	0.45979771856093843	0.005199788376135878	N/A	0.9007633587786259	21653	9112.05000148031	-0.09261911407230916	1.068400810323674,1.1168374178209444
MS11677,MS11683	Unrelated	NA	15.297936343066047	1.103947122217841	0.46456478901950127	0.005438329489551234	N/A	0.9389312977099237	14717	6193.231416976203	-0.10394712221784097	1.0786177999578095,1.1292764444778725
MS11677,MS11684	Unrelated	NA	10.605922387517927	1.0591609842307326	0.44571781498764756	0.006067199245928027	N/A	0.8244274809160306	14572	6132.212285668086	-0.05916098423073257	1.0309026660815297,1.0874193023799354
MS11677,MS11686	Unrelated	NA	14.739293734345521	1.0999847807619032	0.46289735016717404	0.005531321986037242	N/A	0.8931297709923665	20039	8432.84394678169	-0.0999847807619032	1.0742223407741238,1.1257472207496826
MS11678,MS11674	Third Degree	0.9002295442498399	2.007375231042693	0.9386119340409356	0.39498817138351006	0.006784282528338506	N/A	0.6259541984732825	11413	4802.836866341605	0.06138806595906443	0.9070137605956617,0.9702101074862094
MS11678,MS11676	Third Degree	0.5893100604427871	2.882948696361159	0.9451693978925458	0.3977476937821972	0.0056810317599969495	N/A	0.6946564885496184	16694	7025.195710742728	0.05483060210745416	0.9187096763006658,0.9716291194844259
MS11678,MS11677	Unrelated	NA	11.069427666326614	1.0820247611854685	0.4553393860786857	0.006682352297939976	N/A	0.8473282442748091	11565	4866.8017488163205	-0.08202476118546853	1.0509013334610569,1.1131481889098802
MS11678,MS11679	Unrelated	NA	4.359703273504377	0.9747672701935515	0.41020311761927253	0.006613648942297894	N/A	0.6183206106870229	10585	4454.396585492499	0.02523272980644853	0.9439638321716298,1.005570708215473
MS11678,MS11683	Unrelated	NA	4.458624454355348	0.9782758979238637	0.4116796239378051	0.006798072717801893	N/A	0.6793893129770993	11062	4655.128486416441	0.021724102076136287	0.9466134959036908,1.0099382999440365
MS11678,MS11684	Unrelated	NA	3.030232413562685	0.9537132045573202	0.4013431121321905	0.006591422284002198	N/A	0.5801526717557252	11317	4762.43799319968	0.04628679544267977	0.9230132884334037,0.9844131206812368
MS11678,MS11686	Unrelated	NA	4.042180588138948	0.9705305737823249	0.40842022427700175	0.00669209428214301	N/A	0.5461538461538461	15249	6417.108505637706	0.02946942621767512	0.9393617722243115,1.0016993753403383
MS11679,MS11674	Unrelated	NA	5.578639593217826	0.9826051637193399	0.4135014724760251	0.005759809585003749	N/A	0.6870229007633588	13243	5572.940385609557	0.017394836280660075	0.9557785300232235,1.0094317974154563
MS11679,MS11676	Unrelated	NA	7.72804869326114	1.0057625838098931	0.4232466149399057	0.005418838043902957	N/A	0.6793893129770993	19719	8298.181036308606	-0.00576258380989314	0.980524044042737,1.0310011235770493
MS11679,MS11677	Unrelated	NA	13.741754433437555	1.0980925624289666	0.4621010638297872	0.005874904368660315	N/A	0.8473282442748091	13536	5696.241113011475	-0.09809256242896658	1.0707298683725341,1.125455256485399
MS11679,MS11683	Second Degree	3.2318587052943286	3.3430609435288514	0.8601678013109904	0.36197718631178705	0.0060003812456815115	N/A	0.4961832061068702	13150	5533.8039772533175	0.13983219868900965	0.8322206917165957,0.888114910905385
MS11679,MS11684	Third Degree	2.0532847953709696	1.2378460120242554	0.9238804240728615	0.38878883385862223	0.005993688318922502	N/A	0.5419847328244275	13326	5607.868578013514	0.07611957592713847	0.8959644871573322,0.9517963609883908
MS11679,MS11686	Third Degree	2.0825548545084005	1.7156529304209318	0.9274234680321017	0.390279823269514	0.005193505303896309	N/A	0.4732824427480916	18333	7714.922305322058	0.07257653196789826	0.9032344280420977,0.9516125080221057
MS11683,MS11674	Unrelated	NA	6.813018501371737	1.0014435619258046	0.42142907726081724	0.005879847027719645	N/A	0.6564885496183206	14121	5942.421746220083	-0.0014435619258046373	0.9740578471597269,1.0288292766918825
MS11683,MS11676	Unrelated	NA	8.421131784032672	1.0117970407956303	0.42578604475498066	0.005274406720896017	N/A	0.7099236641221374	21182	8913.843030127739	-0.011797040795630265	0.9872311979534976,1.036362883637763
MS11683,MS11684	Third Degree	1.9256412571330983	1.4371267859878534	0.9262826984286016	0.389799762785181	0.005866004441395614	N/A	0.5267175572519084	14333	6031.6359244085015	0.07371730157139844	0.8989614562787173,0.9536039405784859
MS11683,MS11686	Third Degree	1.795118695629759	1.948441558049193	0.9306474163214814	0.3916365303315846	0.005269318760649083	N/A	0.5343511450381679	19633	8261.990379118964	0.0693525836785186	0.9061052709373619,0.9551895617056009
MS11684,MS11674	Third Degree	0.07102298248585937	3.165556966251101	0.9520963826456461	0.40066271855611957	0.0060947087940863625	N/A	0.5572519083969466	14184	5968.933506719472	0.04790361735435389	0.9237099372448911,0.9804828280464011
MS11684,MS11676	Unrelated	NA	4.562997793639211	0.9623159637368627	0.40496333897349124	0.005170672738578381	N/A	0.5648854961832062	21276	8953.400260079206	0.03768403626313732	0.9382332676905407,0.9863986597831846
MS11684,MS11686	Second Degree	2.4397638114166913	4.663525799490809	0.8740497280345869	0.36781900086045455	0.005554049843621845	N/A	0.42748091603053434	19757	8314.172256927284	0.12595027196541309	0.8481814317852208,0.8999180242839531
MS11686,MS11676	Unrelated	NA	4.33643784206692	0.9589793171242822	0.4035592060232717	0.005117019119307283	N/A	0.6259541984732825	29220	12296.40701257353	0.04102068287571781	0.9351465157957308,0.9828121184528336
MS11770,MS11670	Second Degree	0.3154324713026314	1.947400000912503	0.8931815141320766	0.37587006960556846	0.0174347968915441	N/A	0.746031746031746	1293	544.1223226303072	0.10681848586792342	0.8119779773010344,0.9743850509631188
MS11770,MS11674	Unrelated/Consistent with Third Degree	1.5099841672414538	0.6053547752937264	0.9196644011256586	0.3870146403564608	0.009325225324263928	N/A	0.6183206106870229	4713	1983.332178311398	0.08033559887434139	0.8762316451958263,0.9630971570554909
MS11770,MS11675	Unrelated	NA	2.6252363471588405	0.9698309776937531	0.40812581913499346	0.010191938904176285	N/A	0.6692307692307692	3815	1605.4343857963045	0.03016902230624685	0.9223614550297748,1.0173005003577313
MS11770,MS11676	Second Degree	0.23124519179602504	4.926879286000319	0.9020470698799151	0.37960088691796007	0.007648521225590157	N/A	0.6106870229007634	6765	2846.8580917200525	0.09795293012008488	0.8664236566042235,0.9376704831556067
MS11770,MS11677	Unrelated	NA	7.70299088569012	1.0878807416183185	0.45780370910606377	0.009922657259315754	N/A	0.7938931297709924	4799	2019.5228355010395	-0.08788074161831849	1.0416654132017629,1.1340960700348741
MS11770,MS11678	Unrelated/Consistent with Third Degree	0.5361524679084395	1.3391153009736214	0.9397231022282537	0.3954557749526643	0.010519037656201163	N/A	0.6615384615384615	3697	1555.7774375593547	0.060276897771746274	0.8907300989225065,0.9887161055340009
MS11770,MS11679	Unrelated/Consistent with Third Degree	0.5781432811936162	1.4499700448424286	0.939762597634192	0.3954723954723955	0.009726286999398256	N/A	0.6717557251908397	4329	1821.7366857436966	0.06023740236580799	0.8944618746319078,0.9850633206364762
MS11770,MS11683	Unrelated	NA	2.1806819802509247	0.9552824495672123	0.4020034843205575	0.009462137914514036	N/A	0.6846153846153846	4592	1932.412765288763	0.04471755043278769	0.9112120156286159,0.9993528835058088
MS11770,MS11684	Unrelated/Consistent with Third Degree	1.8339298909784898	0.29592228547835253	0.9127628262351398	0.3841103086014445	0.009261681394784092	N/A	0.6564885496183206	4569	1922.7338685985098	0.08723717376486018	0.8696260296933064,0.9558996227769733
MS11770,MS11686	Second Degree	0.6791327345664077	3.9866767084688393	0.8926042018500905	0.3756271241301181	0.008455558469399636	N/A	0.6030534351145038	6179	2600.2566369162164	0.10739579814990952	0.8532219676968531,0.9319864360033279
