Individual,PC1,PC2,PC3,PC4,Population,Population2
ChinaVil:VillDog_China03,0.0132,0.002,-0.0786,-0.0048,ChinaVillage,ChinaVil
ChinaVil:VillDog_China01,0.003,0.0022,-0.0427,-0.0038,ChinaVillage,ChinaVil
ChinaVil:VillDog_China52,-0.0114,-0.0004,-0.0126,-0.0016,ChinaVillage,ChinaVil
ChinaVilAnhui:ChinaIndDog14,0.0146,0.0029,-0.0931,-0.0055,ChinaVillage,ChinaVilAnhui
ChinaVilDiqing:VillDog_China40,0.0107,0.0014,-0.0629,-0.0049,ChinaVillage,ChinaVilDiqing
ChinaVilDiqing:VillDog_China44,0.0103,0.0019,-0.0635,-0.0049,ChinaVillage,ChinaVilDiqing
ChinaVilDiqing:VillDog_China46,0.01,0.0033,-0.0604,-0.0053,ChinaVillage,ChinaVilDiqing
ChinaVilDiqing:VillDog_China41,0.0099,0.0015,-0.0613,-0.0046,ChinaVillage,ChinaVilDiqing
ChinaVilGansu:ChinaIndDog04,0.008,-0.0001,-0.0516,-0.0034,ChinaVillage,ChinaVilGansu
ChinaVilGansu:ChinaIndDog02,0.0075,0,-0.0513,-0.0035,ChinaVillage,ChinaVilGansu
ChinaVilGansu:ChinaIndDog03,0.0074,0,-0.0518,-0.0034,ChinaVillage,ChinaVilGansu
ChinaVilGuangdong:ChinaIndDog05,0.0198,0.0027,-0.1001,-0.0062,ChinaVillage,ChinaVilGuangdong
ChinaVilGuizhou:ChinaIndDog06,0.0187,0.0026,-0.0955,-0.0057,ChinaVillage,ChinaVilGuizhou
ChinaVilHebei:ChinaIndDog07,0.0052,0.0002,-0.05,-0.0034,ChinaVillage,ChinaVilHebei
ChinaVil:VillDog_China02,0.0182,0.0024,-0.094,-0.0058,ChinaVillage,ChinaVil
ChinaVilLiaoning:ChinaIndDog01,0.0012,0.0001,-0.0435,-0.003,ChinaVillage,ChinaVilLiaoning
ChinaVilLijiang:VillDog_China31,0.0145,0.0047,-0.0726,-0.006,ChinaVillage,ChinaVilLijiang
