Individual,PC1,PC2,PC3,PC4,Population,Population2
Coonhound:Coonhound01,-0.0175,0.0152,0.0022,0.0002,Breed,Coonhound
CurlyCoatedRetriever:CR039,-0.0185,0.0178,0.0024,-0.0003,Breed,CurlyCoatedRetriever
Dachshund:CFA.107835,-0.0173,0.0135,-0.001,-0.0006,Breed,Dachshund
Dachshund:CFA.109668,-0.0178,0.014,-0.0005,0,Breed,Dachshund
Dachshund:DH0117,-0.0184,0.0149,0.0003,-0.0004,Breed,Dachshund
Dachshund:DH126,-0.0183,0.0145,-0.0012,0.0004,Breed,Dachshund
Dalmatian:DAL162K1,-0.0191,0.0168,-0.0006,-0.0004,Breed,Dalmatian
Dalmatian:Dalmatian01,-0.0185,0.0163,-0.0004,0.0006,Breed,Dalmatian
Dingo:Dingo01,0.2245,0.1063,-0.0473,-0.0321,Dingo,Dingo
Dingo:E56,0.338,0.2345,-0.1238,-0.1667,Dingo,Dingo
Dingo:Y07,0.335,0.2312,-0.1206,-0.1639,Dingo,Dingo
Dingo:Y47,0.3382,0.2333,-0.1219,-0.1645,Dingo,Dingo
Dingo_ancient:A19053_ph,0.269,0.1164,-0.0542,-0.0448,Dingo_ancient,Dingo_ancient
Dingo_ancient:A19058_ph,0.2749,0.1183,-0.0565,-0.0497,Dingo_ancient,Dingo_ancient
Dingo_ancient:D13_ph,0.2703,0.1112,-0.0493,-0.0325,Dingo_ancient,Dingo_ancient
Dingo_ancient:D16_ph,0.2774,0.1251,-0.0564,-0.0471,Dingo_ancient,Dingo_ancient
DobermanPinscher:DO242,-0.0191,0.0178,0.001,0.0006,Breed,DobermanPinscher
DobermanPinscher:Doberman01,-0.0189,0.0174,0.0006,-0.0006,Breed,DobermanPinscher
DobermanPinscher:Doberman02,-0.0189,0.0167,0.0009,0.0004,Breed,DobermanPinscher
DobermanPinscher:Doberman04,-0.0181,0.0159,-0.0001,0.0013,Breed,DobermanPinscher
DuckTollingRet:DuckTollingRet01,-0.0168,0.0126,0.0026,0.0006,Breed,DuckTollingRet
EastSiberianLaika:SiberianLaika01,0.0162,-0.0443,0.0252,-0.0016,Breed,EastSiberianLaika
EgyptVillage:VillDog_Egypt01,0.0001,-0.049,-0.0442,0.0071,Village,EgyptVillage
EgyptVillage:VillDog_Egypt02,0.0009,-0.0501,-0.0454,0.0076,Village,EgyptVillage
EnglishCockerSpaniel:CP003,-0.0209,0.0207,0.001,-0.0001,Breed,EnglishCockerSpaniel
